catalog_ra_deg,catalog_dec_deg,catalog_flux_mjy,dsa_ra_deg,dsa_dec_deg,peak_flux_jy_beam,local_rms_jy_beam,snr,dra_cosdec_arcsec,ddec_arcsec,separation_arcsec
338.286844,16.281248,55.669,338.2870488773981,16.281133277460725,0.04189413785934448,0.006425667014345526,6.950610431725539,0.7079808059741528,-0.41300078650639144,0.8196380123461264
338.271325,17.030565,239.191,338.2711071951083,17.03055887732069,0.1679534912109375,0.004778701273491606,35.315068102645235,-0.7497138970087979,-0.022041228164446546,0.7500378277841162
338.267285,16.880957,78.549,338.26722765187975,16.88067187439573,0.07280805706977844,0.003902456254279241,19.296279480704502,-0.1975574923881045,-1.0264521466663845,1.0452908553099969
338.194719,16.321895,125.391,338.19394169201075,16.322148857115927,0.06149359047412872,0.0034076907443348317,19.18002518539787,-2.685527747765131,0.913890736841489,2.8367685071047193
338.183854,17.302355,103.233,338.1832536393606,17.3021578980677,0.1256948858499527,0.009857521733734756,13.294884584504887,-2.0634986870559047,-0.709563740935565,2.1820878840990607
338.154034,16.179538,192.186,338.15427005027817,16.179170177862495,0.10320736467838287,0.004608788496628403,22.513741426691652,0.8161254666393664,-1.32415922657736,1.5554608431674761
338.115878,16.435622,581.193,338.1158926965482,16.435528859572727,0.3644006550312042,0.004304530425276607,84.42209878699329,0.05074570188209229,-0.33530553635236504,0.33912376644531034
338.020879,17.663925,100.808,338.0208692480238,17.664086971121886,0.12165891379117966,0.008245017816592008,15.01247265957228,-0.03345187918742834,0.5830960396558228,0.5840548088009165
337.966482,17.046504,95.404,337.9664787474532,17.04356334478814,0.03965078666806221,0.004402170130424201,9.42699264072764,-0.011194927196967866,-10.58635876259999,10.586364681838264
337.891442,16.417788,127.288,337.89183655280806,16.417614262906458,0.07100528478622437,0.004770014448557049,15.231375172527486,1.3624767275700764,-0.6254522108628718,1.499177541601834
337.785687,16.392588,1257.829,337.78550771045195,16.39140684820257,0.40229880809783936,0.013574069578573107,29.49102591266262,-0.6192092126425877,-4.252146197316365,4.296995151541769
337.739889,16.813508,55.721,337.7394685258754,16.813634991897818,0.03167907893657684,0.0036128202857449647,8.752504867247783,-1.4489969220619983,0.4571723700803385,1.519407337125242
337.734049,15.894492,73.584,337.7347420384555,15.894394435239926,0.024442099034786224,0.004499290317529812,5.507192407290273,2.3995522226313564,-0.3512291618425962,2.4251211914590445
337.514372,17.901141,186.167,337.5044479779372,17.889103759966513,0.013711351901292801,0.003625082982704043,12.360430139137174,-33.999206282358635,-43.33315906920616,55.0791131260072
337.558673,16.200139,171.059,337.55896261171733,16.200107393867537,0.07448917627334595,0.004472408624505624,17.143448148811327,1.001203747281042,-0.11378137089798006,1.0076483235400258
337.29298,16.373381,174.38,337.29294052777163,16.373368450555287,0.09163783490657806,0.002329217545269057,40.58529563435419,-0.13633717078330426,-0.045177987722615304,0.14362755554509954
337.182921,16.553603,171.335,337.18279575634165,16.554136156438787,0.08722463995218277,0.0058970261665061115,15.027795996771793,-0.43218874162425924,1.919363314231931,1.9674203009032267
337.122644,16.782072,132.679,337.1228733512541,16.783137697032945,0.06643585860729218,0.003352177221095189,20.945421726202113,0.7904949377322721,3.8365097754227686,3.9171021819062637
343.361614,15.127938,79.701,343.3629424700005,15.127388885322121,0.06190399453043938,0.008268393021728843,8.332837465650176,4.616769053833271,-1.976798872298186,5.022179833294695
342.8327,14.606802,154.072,342.83210756596355,14.606157785500072,0.2539212703704834,0.03288255237936973,8.458288256310599,-2.0638360697319835,-2.3191695089565494,3.1045074543316082
342.509253,15.300941,106.437,342.507910273821,15.300531938092432,0.058504100888967514,0.007970593543443828,8.079563003924926,-4.662479546958178,-1.4726084503019992,4.889508275246519
342.440766,14.454348,59.609,342.44069676577874,14.44603039169525,0.041121240705251694,0.009468401684705167,5.211051239905525,-0.2413628907157396,-29.943389860679627,29.944362614583504
342.121237,15.450322,266.569,342.1209123296879,15.450375516223298,0.14377252757549286,0.010290969616547227,14.962805060062975,-1.1265740286914745,0.19265925420903485,1.1429289699515541
341.929002,14.41567,113.425,341.9284196598982,14.412777337225952,0.06656739115715027,0.014358349203318356,5.2901482287050685,-2.0304450253854367,-10.4135834177497,10.609685508983949
341.520952,15.743739,130.637,341.51940321749026,15.74628981377258,0.03342091292142868,0.00740326879536733,5.560753116118997,-5.366379809256852,9.182949261290194,10.636004390401018
340.89314,15.527371,68.243,340.8925565038871,15.527352015014543,0.036812674254179,0.006040382768958807,6.595991228121413,-2.02392043264175,-0.06834318880961822,2.0250740009000747
340.51026,15.446871,569.26,340.5102655367268,15.446599358167509,0.3062920868396759,0.004176136632822454,73.27433332839557,0.019212247145433695,-0.9779105967267335,0.9780993025408071
340.41692,15.103039,66.054,340.41663856035893,15.102996200581574,0.03286059573292732,0.006835520838573575,5.071099552835931,-0.9781863708247307,-0.15407728038311475,0.9902466280667228
339.653736,14.920246,288.335,339.65349543028645,14.919721459096746,0.15691189467906952,0.0042964797941967845,36.81584651202539,-0.8368542393077603,-1.8883467993717356,2.0654729851888276
339.523222,15.290592,71.752,339.52289685199685,15.289999659728123,0.03184074908494949,0.005383095100941137,6.1798647680292715,-1.1290999996732776,-2.132424133880039,2.4129027116765878
339.435018,15.276563,52.746,339.4351273988512,15.276263572618854,0.029757246375083923,0.006251396154239773,5.04979197835731,0.37992032503566553,-1.077938476573137,1.1429307995902558
339.173444,15.187194,67.763,339.17279947681925,15.186107822161487,0.026586884632706642,0.0057592841560486704,5.491160794053266,-2.2392592401455262,-3.9102369191456976,4.5060220492610945
